NMUESTRA,LONGITUD,LATITUD,ELEVACION,FECHA,Au,Ag,Cu,Pb,Zn,Mo,Ni,Co,Cd,Fe,Mn,Te,Ba,Cr,V,Sn,W,La,Al,Mg,Ca,Na,K,Sr,Y,Ga,Li,Nb,Sc,Ta,Ti,Zr,As,Sb,Hg,Pt,Pd,LITHOLOGY,CODIGO
12867,793782.6,84050.48,1401.89,16/06/1998,3.33,0.66,80,2.66,64,0.7,40,26,0.46,5.92,1026,6.66,133,77,175,13.33,13.33,5,4.81,1.45,1.2,0.02,0.03,46,9,3,10,11,20,6.66,0.13,11,2.66,1.26,0.026,5,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12868,788315.28,92536.94,829.04,19/06/1998,3.33,0.66,76,2.66,78,0.7,23,30,0.46,6.12,1130,6.66,125,38,158,13.33,13.33,4,4.46,1.25,0.4,0.02,0.05,31,8,1.33,6,10,17,6.66,0.16,7,2.66,1.26,0.026,3.33,6,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12870,803662.82,94302.44,881.41,13/06/1998,33,0.66,54,2.66,32,0.7,9,14,0.46,4.47,728,6.66,93,30,151,13.33,13.33,4,1.65,0.25,0.31,0.02,0.03,30,3,1.33,2,11,3.33,6.66,0.05,0.66,2.66,1.26,0.026,3.33,3,Depósitos recientes no consolidados,QA
12873,794909.16,83750.3,1399.85,16/06/1998,3.33,0.66,78,2.66,93,0.7,4,18,0.46,7.18,1179,6.66,114,5,267,13.33,13.33,3,3.78,0.69,0.78,0.01,0.04,36,9,2,5,19,17,6.66,0.1,5,2.66,1.26,0.042,15,5,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12874,799539.27,87655.67,1399.91,17/06/1998,8,0.66,65,2.66,89,0.7,11,18,0.46,6.29,583,6.66,94,27,213,13.33,13.33,3,2.54,0.84,0.36,0.01,0.05,22,5,1.33,8,15,9,6.66,0.13,2,4.2,1.26,0.026,24,5,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12876,806491.29,83458.24,2200.23,16/06/1998,7,0.66,64,2.66,71,0.7,9,16,0.46,4.69,700,6.66,112,16,111,13.33,13.33,2,2.8,1.07,0.19,0.01,0.04,15,4,1.33,10,7,10,6.66,0.06,2,2.66,1.26,0.043,3.33,4,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12878,805458.34,91604.47,1062.21,15/06/1998,129,0.66,92,12,160,0.7,12,19,0.46,6.17,1125,6.66,73,36,232,13.33,13.33,4,2.99,1.14,0.79,0.02,0.06,65,6,1.33,7,15,12,6.66,0.08,2,6.9,1.26,0.026,3.33,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12881,788555.08,96681.69,814.71,19/06/1998,3.33,0.66,64,2.66,80,0.7,12,17,0.46,5.01,961,6.66,103,26,111,13.33,13.33,5,3.09,0.83,0.32,0.01,0.03,24,8,1.33,4,6,9,6.66,0.09,2,2.66,1.26,0.043,3.33,6,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12883,796935.25,93658.13,930.34,16/06/1998,5,0.66,90,2.66,96,0.7,31,25,0.46,6.35,1107,6.66,87,50,175,13.33,13.33,4,4.27,1.25,0.68,0.02,0.04,45,8,1.33,7,10,15,6.66,0.1,7,2.66,1.26,0.026,3.33,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12886,795525.13,83101.24,1400.55,16/06/1998,3.33,0.66,69,2.66,66,0.7,12,17,0.46,6.21,622,6.66,122,30,191,13.33,13.33,4,3.44,0.88,0.73,0.01,0.04,48,6,1.33,8,11,11,6.66,0.11,4,4.1,1.26,0.026,3.33,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12887,805327,84792.14,1999.51,16/06/1998,33,0.66,50,2.66,66,0.7,6,13,0.46,3.75,812,6.66,134,16,84,13.33,13.33,4,3.23,0.39,0.17,0.01,0.05,13,7,4,7,5,9,6.66,0.1,4,2.66,1.26,0.055,3.33,3,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12889,807217.78,91142.88,998.14,15/06/1998,11,0.66,76,2.66,76,0.7,14,17,0.46,5.44,626,6.66,128,29,168,13.33,13.33,3,2.24,1,0.69,0.02,0.1,38,6,1.33,9,10,9,6.66,0.12,3,8.7,1.26,0.026,3.33,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12891,808910.62,93439.94,1005.87,12/06/1998,3.33,0.66,87,2.66,105,0.7,14,28,0.46,8.99,1480,6.66,76,33,464,13.33,13.33,3,3.5,0.94,0.94,0.04,0.04,128,7,1.33,5,31,16,6.66,0.28,3,2.66,1.26,0.026,3.33,9,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12893,793128.51,86119.19,1252.9,17/06/1998,3.33,0.66,86,2.66,93,0.7,6,21,0.46,6.93,1121,6.66,85,10,221,13.33,13.33,5,4.07,1.07,0.52,0.02,0.05,41,10,3,10,13,13,6.66,0.19,6,4.8,1.26,0.045,3.33,5,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12894,802448.45,81040.52,2211.03,17/07/1998,25,0.66,58,29,54,0.7,13,13,0.46,4.37,351,6.66,112,64,148,13.33,13.33,2,1.84,0.23,0.06,0.01,0.06,8,4,1.33,3,9,6,6.66,0.09,0.66,2.66,1.26,0.026,3.33,3,Intrusivo Granodiorita-Diorita,GdD
12895,797086.81,93659.01,929.78,16/06/1998,7,0.66,80,2.66,82,0.7,29,27,0.46,7.29,1419,6.66,110,57,269,13.33,13.33,4,4.26,1.18,0.61,0.02,0.04,47,8,1.33,8,17,17,6.66,0.11,5,2.66,1.26,0.026,6,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12899,805286.15,84874.66,1999.54,16/06/1998,8,0.66,64,4,91,0.7,9,17,0.46,4.95,1217,6.66,197,12,89,13.33,13.33,6,3.11,0.8,0.28,0.01,0.08,19,12,1.33,12,4,12,6.66,0.09,2,2.66,1.26,0.026,3.33,3,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12902,792847.56,89889.42,999.89,18/06/1998,3.33,0.66,79,2.66,110,0.7,14,24,0.46,8.64,1233,6.66,92,25,355,13.33,13.33,3,3.43,0.92,0.53,0.02,0.05,46,6,2,7,21,15,6.66,0.21,5,2.66,1.26,0.026,3.33,5,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12903,786174.88,90589.1,1201.66,23/06/1998,3.33,0.66,27,2.66,93,0.7,10,13,0.46,2.92,583,6.66,84,18,75,13.33,13.33,2,2.12,0.48,0.2,0.01,0.03,13,3,1.33,4,4,5,6.66,0.07,2,2.66,1.26,0.042,3.33,3,Volcánicos andesíticos,MPlv
12905,797221.01,80355.09,1612.02,15/06/1998,5,0.66,75,2.66,79,0.7,11,20,0.46,4.83,1018,6.66,144,21,120,13.33,13.33,4,3.16,1.08,0.37,0.01,0.07,21,8,1.33,10,6,10,6.66,0.12,0.66,4,1.26,0.055,3.33,5,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12906,787730.59,91323.64,971.05,19/06/1998,3.33,0.66,23,2.66,74,0.7,9,11,0.46,2.75,468,6.66,97,24,85,13.33,13.33,2,2.25,0.3,0.18,0.01,0.02,13,3,3,4,4,3.33,6.66,0.1,2,2.66,1.26,0.05,3.33,4,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12912,798763.82,87829,1399.75,17/06/1998,53,0.66,86,2.66,102,0.7,13,18,0.46,7.02,919,6.66,136,27,246,13.33,13.33,3,2.71,0.99,0.53,0.01,0.06,36,6,1.33,8,14,12,6.66,0.13,2,6.2,1.26,0.026,6,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12914,793082.3,91108.3,908.06,18/06/1998,5,0.66,86,2.66,76,0.7,23,25,0.46,5.98,1061,6.66,79,45,161,13.33,13.33,3,3.28,1.08,0.54,0.01,0.04,31,6,1.33,7,8,13,6.66,0.08,4,2.66,1.26,0.026,7,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12916,804699.22,90395.49,1263.7,15/06/1998,58,0.66,112,29,254.5,0.7,15.5,20.5,1,6.03,1420.5,6.66,76,44.5,192.5,13.33,13.33,4,3.135,1.385,0.745,0.02,0.08,58,6,4.165,8.5,12,10.5,6.66,0.085,2.5,10.7,1.26,0.026,3.33,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12917,794800.96,83542.03,1399.89,16/06/1998,3.33,0.66,45,2.66,67,0.7,15,18,0.46,4.85,588,6.66,118,41,174,13.33,13.33,3,3.03,0.62,0.42,0.02,0.03,38,4,2,8,9,8,6.66,0.16,7,2.66,1.26,0.026,3.33,3,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12918,788138.07,91889.65,798.69,19/06/1998,6,0.66,56,2.66,79,0.7,22,18,0.46,5.93,562,6.66,85,49,212,13.33,13.33,3,2.29,0.77,0.48,0.02,0.05,29,4,1.33,8,12,8,6.66,0.13,3,8.3,1.26,0.026,3.33,4,Depósitos recientes no consolidados,QA
12921,796476.22,94948.6,818.28,17/06/1998,7,0.66,96,2.66,90,0.7,32,31,0.46,7.03,1578,6.66,116,58,223,13.33,13.33,5,4.28,1.31,0.79,0.02,0.05,53,9,1.33,8,12,17,6.66,0.12,7,2.66,1.26,0.026,3.33,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12924,790672.87,87129.82,1199.66,18/06/1998,6,0.66,143,2.66,104,0.7,52,43,0.46,9.26,1631,6.66,122,124,245,13.33,13.33,5,5.97,1.24,0.57,0.02,0.05,31,13,6,18,21,35,6.66,0.16,10,2.66,1.26,0.026,15,16,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12925,799660.48,87729.5,1399.91,17/06/1998,26,0.66,109,8,147,0.7,15,22,0.46,8.5,1161,6.66,128,36,323,13.33,13.33,4,3.03,1.02,0.56,0.01,0.06,32,7,3,9,30,15,6.66,0.14,5,5.5,1.26,0.33,3.33,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12927,791761.65,91068.67,899.89,18/06/1998,6,0.66,120,2.66,106,0.7,41,35,0.46,8.01,1356,6.66,102,95,229,13.33,13.33,4,4.76,1.52,0.55,0.02,0.05,37,9,6,11,21,27,6.66,0.13,10,2.66,1.26,0.026,34,12,Intrusivo Granodiorita-Diorita,GdD
12929,805634.36,91583.1,1050.99,15/06/1998,52,0.66,85,2.66,58,0.7,11,21,0.46,6.59,1033,6.66,90,29,356,13.33,13.33,4,3.53,0.81,1.11,0.03,0.06,130,7,4,5,34,16,6.66,0.11,5,2.66,1.26,0.026,6,10,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12931,788795.96,93206.03,805.48,19/06/1998,5,0.66,65,2.66,78,0.7,17,22,0.46,4.63,933,6.66,134,31,128,13.33,13.33,5,3.75,0.89,0.53,0.02,0.08,38,7,1.33,6,11,11,6.66,0.15,3,2.66,1.26,0.059,3.33,6,Intrusivo Granodiorita-Diorita,GdD
12933,796640.29,94978.39,853.55,17/06/1998,5,0.66,44,4,59,0.7,23,26,0.46,4.89,1023,6.66,266,51,151,13.33,13.33,7,4.64,0.54,0.36,0.02,0.05,42,6,4,6,13,12,6.66,0.15,17,2.66,1.26,0.051,6,5,Volcánicos andesíticos,MPlv
12936,795454.69,82949.94,1401.62,16/06/1998,25,0.66,49,8,117,0.7,31,23,0.46,9.79,602,6.66,86,105,393,13.33,13.33,4,1.34,0.51,0.3,0.02,0.05,29,4,1.33,7,38,3.33,6.66,0.2,2,13.4,1.26,0.026,3.33,4,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12937,795201.49,89522.72,1200.03,18/06/1998,10,0.66,88,2.66,115,0.7,14,23,0.46,8.55,1155,6.66,135,28,394,13.33,13.33,4,3.72,1.08,0.74,0.03,0.06,72,7,1.33,8,37,16,6.66,0.24,5,2.66,1.26,0.026,3.33,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12938,785538.12,84848.08,1373.86,22/07/1998,14,0.66,119,2.66,85,0.7,31,33,0.46,7.79,1019,6.66,186,54,244,13.33,13.33,5,5.81,1.03,0.61,0.02,0.03,43,11,7,9,22,25,6.66,0.14,11,2.66,1.26,0.026,6,11,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12939,806971.4,91511.02,995.59,15/06/1998,3.33,0.66,80,2.66,84,0.7,11,21,0.46,7.78,1085,6.66,74,26,440,13.33,13.33,4,3.08,0.84,1.38,0.03,0.05,121,6,1.33,4,43,15,6.66,0.19,6,2.66,1.26,0.026,3.33,8,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12942,803073.8,87385.8,1599.76,16/06/1998,16,0.66,98,2.66,92,0.7,16,22,0.46,6.23,1051,6.66,183,32,186,13.33,13.33,5,3.88,0.9,0.58,0.02,0.07,38,9,4,12,17,16,6.66,0.14,5,4.4,1.26,0.04,3.33,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12944,788915.53,92937.27,806.94,19/06/1998,5,0.66,52,2.66,66,0.7,12,19,0.46,4.83,717,6.66,144,25,145,13.33,13.33,5,3.37,0.65,0.41,0.02,0.1,34,8,2,7,13,8,6.66,0.14,1,2.66,1.26,0.063,3.33,5,Intrusivo Granodiorita-Diorita,GdD
12949,795748.7,82489,1399.27,16/06/1998,3.33,0.66,65,2.66,77,0.7,15,18,0.46,4.68,1027,6.66,124,32,132,13.33,13.33,6,3.53,0.85,0.82,0.02,0.06,65,9,5,11,12,11,6.66,0.07,2,16.3,1.26,0.051,3.33,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12951,792262.45,85842.91,1200.15,17/06/1998,8,0.66,51,2.66,68,0.7,22,15,0.46,4.58,483,6.66,114,48,155,13.33,13.33,4,2.01,0.67,0.39,0.03,0.07,41,4,1.33,10,14,6,6.66,0.1,4,11.7,1.26,0.026,3.33,4,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12954,795021.82,83397.48,1399.88,16/06/1998,5,0.66,86,2.66,71,0.7,7,19,0.46,5.31,1222,6.66,94,14,192,13.33,13.33,4,4.62,1.04,1.18,0.02,0.06,93,11,6,11,17,18,6.66,0.08,2,2.66,1.26,0.152,3.33,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12964,795168.3,83718.5,1399.87,16/06/1998,21,0.66,91,2.66,187,0.7,12,23,0.46,10,2000,6.66,87,21,694,13.33,13.33,4,3.13,0.8,0.42,0.01,0.03,84,9,1.33,6,68,19,6.66,0.36,4,2.66,1.26,0.026,5,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12972,800612.28,85812.03,1599.85,18/06/1998,8,0.66,90,5,87,0.7,14,22,0.46,6.91,1118,6.66,185,29,186,13.33,13.33,5,3.68,1.09,0.58,0.02,0.1,50,8,4,13,17,13,6.66,0.11,4,5.7,1.26,0.043,6,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12974,796970.76,88676.61,1199.9,18/06/1998,5,0.66,78,2.66,114,0.7,11,27,0.46,9.07,1372,6.66,115,17,416,13.33,13.33,3,4.74,1.34,0.87,0.05,0.05,94,7,1.33,7,39,19,6.66,0.29,6,2.66,1.26,0.026,3.33,6,Intrusivo Granodiorita-Diorita,GdD
12978,801974.09,87878.86,1599.43,16/06/1998,373,0.66,87,8,145,0.7,15,20,0.46,6.38,1186,6.66,147,35,208,13.33,13.33,5,3.27,0.93,0.41,0.01,0.07,31,7,5,9,19,14,6.66,0.09,4,4.8,1.26,0.06,3.33,9,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12981,790150.62,95530.9,699.09,20/06/1998,22,0.66,120,2.66,84,0.7,17,28,0.46,8.75,1440,6.66,102,36,304,13.33,13.33,5,3.51,1.07,0.46,0.01,0.05,32,11,3,8,28,18,6.66,0.15,7,2.66,1.26,0.026,7,8,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12986,802403.72,84824.17,1799.81,18/06/1998,8,0.66,139,2.66,104,0.7,8,23,0.46,6.96,916,6.66,158,12,207,13.33,13.33,4,4.11,1.25,0.62,0.02,0.17,34,10,3,11,19,20,6.66,0.18,9,2.66,1.26,0.026,3.33,9,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
12987,797262.36,88987.07,1200.18,18/06/1998,10,0.66,96,2.66,127,0.7,12,24,0.46,9.88,1339,6.66,90,26,510,13.33,13.33,3,4.43,1.04,0.73,0.02,0.04,70,7,2,6,50,19,6.66,0.25,4,2.66,1.26,0.026,6,15,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
12992,799719.18,78957.64,1799.74,15/06/1998,27,0.66,65,6,122,2,31,22,0.46,8.59,614,6.66,91,105,325,13.33,13.33,4,1.41,0.55,0.33,0.03,0.06,32,4,1.33,7,32,3.33,6.66,0.19,3,14.7,1.26,0.026,3.33,4,Intrusivo Granodiorita-Diorita,GdD
12993,790197.58,94028.35,771.7,20/06/1998,21,0.66,99,2.66,89,0.7,15,25,0.46,6.79,1106,6.66,103,36,213,13.33,13.33,4,3.39,0.91,0.44,0.02,0.08,29,9,2,7,19,15,6.66,0.17,5,2.66,1.26,0.026,3.33,7,Intrusivo Granodiorita-Diorita,GdD
12998,802564.45,84948.32,1800.03,18/06/1998,6,0.66,102,5,100,0.7,10,23,0.46,6.74,1238,6.66,170,21,184,13.33,13.33,5,4.15,0.89,0.26,0.02,0.06,21,12,5,9,16,19,6.66,0.16,8,2.66,1.26,0.026,5,6,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
13002,796725.93,89115.7,1200.01,18/06/1998,3.33,0.66,76,2.66,123,0.7,21,25,0.46,8.71,1331,6.66,125,49,430,13.33,13.33,4,4.85,0.91,0.67,0.02,0.04,52,8,1.33,7,41,19,6.66,0.26,6,2.66,1.26,0.026,3.33,5,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
13003,801020.67,85710.32,1599.92,18/06/1998,292,0.66,92,4,83,0.7,16,21,0.46,5.11,972,6.66,226,28,145,13.33,13.33,4,3.21,1.12,0.45,0.01,0.07,19,8,3,11,13,13,6.66,0.13,3,6.9,1.26,0.041,3.33,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
13006,809589.35,89985,913.6,12/06/1998,3.33,0.66,63,2.66,54,0.7,30,22,0.46,4.58,665,6.66,65,78,216,13.33,13.33,5,3.01,1.23,1.47,0.06,0.04,95,7,1.33,4,20,14,6.66,0.16,9,2.66,1.26,0.026,8,9,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
13008,808138.02,85575.72,1626.8,15/06/1998,3.33,0.66,57,4,84,0.7,8,15,0.46,4.4,696,6.66,219,22,116,13.33,13.33,4,2.02,1,0.35,0.01,0.09,24,6,3,11,11,6,6.66,0.08,0.66,4.6,1.26,0.061,3.33,6,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
13016,799468.63,78980.14,1799.93,15/06/1998,12,0.66,147,2.66,59,2,11,14,0.46,4.12,513,6.66,231,36,127,13.33,13.33,5,3.31,0.59,0.31,0.02,0.14,25,6,3,7,12,8,6.66,0.11,2,2.66,1.26,0.046,3.33,5,Intrusivo Granodiorita-Diorita,GdD
13017,791459.89,86637.47,1199.97,17/06/1998,7,0.66,56,2.66,73,0.7,23,15,0.46,4.14,553,6.66,132,46,135,13.33,13.33,5,2.32,0.69,0.47,0.03,0.07,45,5,3,12,13,6,6.66,0.09,4,14.7,1.26,0.026,3.33,4,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
13019,791478.83,86726.16,1200.02,17/06/1998,3.33,0.66,84,2.66,89,0.7,23,26,0.46,6.52,1287,6.66,103,38,216,13.33,13.33,6,5.2,1.15,0.67,0.02,0.05,43,11,6,11,20,18,6.66,0.16,8,4.2,1.26,0.044,3.33,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
13022,796768.4,80670.67,1599.43,15/06/1998,86,0.66,49,5,89,0.7,22,17,0.46,6.23,461,6.66,100,71,231,13.33,13.33,4,1.67,0.51,0.32,0.03,0.06,31,4,1.33,9,23,3.33,6.66,0.14,3,11.5,1.26,0.026,3.33,4,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
13038,803116.98,87535.38,1604.96,16/06/1998,6,0.66,92,4,86,0.7,12,21,0.46,5.9,1074,6.66,171,26,167,13.33,13.33,5,3.4,0.87,0.66,0.01,0.07,25,11,4,10,15,18,6.66,0.13,9,4.8,1.26,0.046,3.33,7,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
13039,796835.53,82050.89,1598.75,16/06/1998,414,0.66,49,9,75,0.7,22,15,0.46,4.48,460,6.66,110,52,153,13.33,13.33,5,1.74,0.58,0.37,0.03,0.07,37,4,2,9,15,3.33,6.66,0.09,4,13.9,1.26,0.026,3.33,4,Intrusivo Granodiorita-Diorita,GdD
13043,797756.01,80422.71,1598.13,15/06/1998,26,0.66,52,6,73,0.7,23,15,0.46,4.39,497,6.66,121,52,148,13.33,13.33,5,2.03,0.59,0.39,0.03,0.07,40,5,2,9,14,5,6.66,0.09,3,13.1,1.26,0.026,3.33,4,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
13051,790198.93,95788.34,699.2,20/06/1998,6,0.66,121,5,83,0.7,28,30,0.46,9.61,1159,6.66,78,67,375,13.33,13.33,4,3.6,0.97,0.56,0.02,0.04,32,11,4,6,37,21,6.66,0.14,9,2.66,1.26,0.026,7,10,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
13053,801991.76,94351.43,900.44,19/06/1998,7,0.66,68,7,78,0.7,28,30,0.46,6.7,1717,6.66,220,84,254,13.33,13.33,8,4.59,0.81,0.58,0.02,0.05,42,10,5,9,24,16,6.66,0.13,9,2.66,1.26,0.052,6,5,Volcánicos andesíticos,MPlv
13057,806691.53,92491.56,894.05,12/06/1998,10,0.66,92,5,98,0.7,20,22,0.46,6.26,819,6.66,148,50,253,13.33,13.33,4,3,1.13,0.93,0.03,0.11,57,8,1.33,11,25,13,6.66,0.18,4,5.3,1.26,0.046,3.33,8,Depósitos recientes no consolidados,QA
13059,807765.7,86846.11,1529.85,15/06/1998,14,0.66,111,2.66,71,0.7,10,20,0.46,4.81,826,6.66,142,17,151,13.33,13.33,3,3.14,1.06,1.14,0.03,0.11,96,6,3,12,14,11,6.66,0.1,1,4.8,1.26,0.042,11,12,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
13064,790058.64,94691.99,706.63,20/06/1998,178,0.66,132,4,85,0.7,18,29,0.46,7.86,1335,6.66,103,35,269,13.33,13.33,5,4.11,1.01,0.54,0.02,0.07,35,14,4,8,26,20,6.66,0.16,7,2.66,1.26,0.026,5,8,Intrusivo Granodiorita-Diorita,GdD
13070,810112.55,89578.15,897.63,12/06/1998,3.33,0.66,66,2.66,59,0.7,19,20,0.46,4.18,2304,6.66,104,61,166,13.33,13.33,5,2.97,0.93,1.05,0.06,0.09,92,5,1.33,6,15,11,6.66,0.15,6,6.6,1.26,0.072,6,7,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
13076,793988.91,84191.14,1399.17,16/06/1998,10,0.66,52,6,127,0.7,30,23,0.46,9.54,601,6.66,87,113,383,13.33,13.33,4,1.39,0.49,0.34,0.03,0.06,30,4,1.33,7,39,3.33,6.66,0.21,2,12,1.26,0.026,3.33,6,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
13085,808084.66,85097.95,1636.02,15/06/1998,6,0.66,30,4,64,0.7,7,10,0.46,2.65,424,6.66,98,19,66,13.33,13.33,3,1.66,0.46,0.4,0.02,0.09,24,5,1.33,7,6,3.33,6.66,0.08,1,2.66,1.26,0.053,3.33,3,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
13090,793645.79,84157.36,1400.92,16/06/1998,3.33,0.66,90,2.66,70,0.7,43,27,0.46,5.66,1131,6.66,95,87,208,13.33,13.33,5,5.7,1.28,0.73,0.02,0.04,56,10,5,9,19,21,6.66,0.16,7,2.66,1.26,0.048,20,13,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
13091,792277.38,85659.67,1199.85,17/07/1998,3.33,0.66,82,2.66,86,0.7,26,27,0.46,6.23,1195,6.66,90,33,196,13.33,13.33,6,5.61,1.22,0.88,0.02,0.06,60,12,5,8,18,20,6.66,0.19,13,2.66,1.26,0.042,3.33,6,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
13102,808178.86,85049.97,1617.74,15/06/1998,38,0.66,116,9,117,1,10,21,0.46,6.15,882,6.66,156,21,183,13.33,13.33,3,3.05,1.23,0.34,0.02,0.21,29,6,3,7,17,12,6.66,0.12,2,10,1.26,0.026,3.33,7,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
13109,810534.7,79039.1,1606.46,13/06/1998,3.33,0.66,37,5,138,0.7,27,18,0.46,5.59,643,6.66,230,69,202,13.33,13.33,5,1.58,0.53,0.45,0.03,0.05,35,4,1.33,5,20,3.33,6.66,0.13,2,14.9,1.26,0.046,3.33,3,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
13111,788873.44,90244.65,899.42,19/06/1998,3.33,0.66,115,2.66,87,0.7,44,32,0.46,6.6,1153,6.66,94,97,206,13.33,13.33,4,4.65,1.3,0.89,0.02,0.04,30,10,5,8,19,26,6.66,0.15,10,2.66,1.26,0.026,7,13,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
13114,808635.98,83379.73,1823.27,15/06/1998,33,0.66,113,5,96,0.7,9,22,0.46,5.99,1005,6.66,111,21,166,13.33,13.33,3,2.86,1.59,0.43,0.02,0.2,28,7,4,10,16,12,6.66,0.09,0.66,18.1,1.26,0.026,7,8,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
13124,788727.36,90139.67,897.8,19/06/1998,3.33,0.66,143,2.66,92,0.7,20,33,0.46,6.95,1092,6.66,112,44,221,13.33,13.33,5,5.24,1.01,0.39,0.02,0.05,35,14,5,7,20,27,6.66,0.17,15,2.66,1.26,0.026,6,15,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
13135,801347.97,94908.16,888.2,19/06/1998,5,0.66,44,6,57,0.7,17,22,0.46,5.31,928,6.66,164,46,203,13.33,13.33,6,3.61,0.53,0.45,0.02,0.04,37,7,4,6,19,11,6.66,0.12,11,2.66,1.26,0.052,3.33,4,Volcánicos andesíticos,MPlv
13137,800214.46,81134.32,1975.51,22/06/1998,58,0.66,158,9,74,1,11,13,0.46,4.61,466,6.66,128,37,145,13.33,13.33,3,2.3,0.64,0.15,0.02,0.1,13,4,3,6,14,6,6.66,0.1,0.66,2.66,1.26,0.026,3.33,4,Intrusivo Granodiorita-Diorita,GdD
13139,802114.91,94270.51,900.83,19/06/1998,326,0.66,121.5,15.5,206.5,0.7,17.5,22.5,0.75,7.065,1163,6.66,108.5,52.5,259.5,13.33,13.33,3.5,2.97,1.03,0.54,0.015,0.05,41,5,5.5,7,22.5,11,6.66,0.105,3.5,4.4,1.26,0.026,3.33,6.5,Volcánicos andesíticos,MPlv
