NMUESTRA,LONGITUD,LATITUD,ELEVACION,FECHA,Au,Ag,Cu,Pb,Zn,Mo,Ni,Co,Cd,Fe,Mn,Te,Ba,Cr,V,Sn,W,La,Al,Mg,Ca,Na,K,Sr,Y,Ga,Li,Nb,Sc,Ta,Ti,Zr,As,Sb,Hg,Pt,Pd,LITHOLOGY,CODIGO
14494,798133.47,76768.53,2199.74,15/07/1998,3.33,0.66,27,2.66,44,1,7,10,0.46,4.08,339,6.66,91,20,140,13.33,13.33,3,1.74,0.4,0.17,0.02,0.07,13,3,3,11,9,3.33,6.66,0.08,0.66,2.66,1.26,0.106,3.33,2,Intrusivo Granodiorita-Diorita,GdD
14503,785380.56,77746.28,1400,01/09/1998,56,0.66,82,2.66,80,1,20,20,0.46,7.1,699,6.66,80,37,213,13.33,13.33,4,3.28,1.07,0.67,0.04,0.07,31,7,5,13,13,11,6.66,0.14,4,28.5,1.26,0.026,3.33,3,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
14508,794357.96,77625.12,1915.77,15/07/1998,5,0.66,106,2.66,100,0.7,11,21,0.46,6.72,1125,6.66,161,12,162,13.33,13.33,4,4.61,1,0.63,0.02,0.08,25,9,8,14,9,19,6.66,0.17,6,2.66,1.26,0.026,3.33,4,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
14509,790907.86,76985.84,1800.53,17/07/1998,3.33,0.66,65,2.66,77,0.7,16,15,0.46,4.92,632,6.66,143,20,124,13.33,13.33,4,3.76,0.67,0.43,0.02,0.07,32,6,6,15,7,12,6.66,0.06,3,5.6,1.26,0.026,3.33,1,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
14513,795243.25,73861.59,2399.56,18/07/1998,18,0.66,34,4,79,0.7,18,15,0.46,4.83,486,6.66,94,52,155,13.33,13.33,2,2,0.68,0.41,0.03,0.06,22,3,4,8,10,7,6.66,0.14,1,4.1,1.26,0.026,3.33,0.66,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
14528,785456.68,77859.87,1399.3,01/09/1998,7,0.66,89,2.66,85,0.7,20,21,0.46,6.27,872,6.66,93,29,174,13.33,13.33,4,4.23,1.25,0.7,0.04,0.07,36,8,6,14,10,14,6.66,0.14,6,18.4,1.26,0.026,3.33,3,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
14535,788320.55,72368.53,2002.87,30/08/1998,18,0.66,124,2.66,89,0.7,11,22,0.46,6.05,928,6.66,107,15,153,13.33,13.33,3,3.37,1.45,1.05,0.03,0.11,27,8,2,19,9,14,6.66,0.15,5,25.9,1.26,0.051,3.33,5,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
14549,785621.5,76877.97,1599.88,31/08/1998,3.33,0.66,112,2.66,87,0.7,17,27,0.46,7.21,1389,6.66,104,23,231,13.33,13.33,4,6.38,1.32,0.94,0.03,0.05,70,10,5,9,13,21,6.66,0.19,7,2.66,1.26,0.04,6,5,"Volcánicos andesíticos, rocas sedimentarias marino/continental",PcEOMvss
14554,796209.17,72440.12,2798.24,18/07/1998,3.33,0.66,42,9,97,0.7,12,15,0.46,4.32,831,6.66,169,36,118,13.33,13.33,4,3.03,0.51,0.33,0.02,0.06,29,5,4,7,7,7,6.66,0.1,0.66,9.1,1.26,0.055,3.33,1,Volcánicos andesíticos,MPlv
14555,785447.66,76218.17,1599.92,30/08/1998,3.33,0.66,113,2.66,109,0.7,13,27,0.46,8.37,1340,6.66,70,21,323,13.33,13.33,4,5.32,1.02,0.62,0.02,0.05,42,10,6,7,21,19,6.66,0.2,5,2.66,1.26,0.026,7,5,Depósitos recientes no consolidados,QA
14637,797873.97,77780.85,1999.38,15/07/1998,17,0.66,23,2.66,55,0.7,8,11,0.46,6.78,341,6.66,77,51,258,13.33,13.33,2,1.35,0.32,0.14,0.02,0.06,10,2,1.33,7,16,3.33,6.66,0.08,0.66,2.66,1.26,0.071,3.33,0.66,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
14638,801257.77,75870.03,2219.87,14/07/1998,8,0.66,35,8,79,0.7,7,11,0.46,3.89,520,6.66,130,19,121,13.33,13.33,3,2.35,0.39,0.18,0.02,0.08,17,4,3,11,7,3.33,6.66,0.07,0.66,2.66,1.26,0.026,3.33,0.66,Intrusivo Granodiorita-Diorita,GdD
14641,788763.4,71460.28,2220.52,31/08/1998,109,0.66,88,4,73,0.7,8,19,0.46,5.06,752,6.66,85,16,138,13.33,13.33,2,2.81,1.42,0.88,0.02,0.09,23,6,2,14,7,12,6.66,0.15,6,9.1,1.26,0.138,3.33,4,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
14721,800084.43,76265.12,2199.2,16/07/1998,3.33,0.66,40,2.66,47,0.7,6,11,0.46,4.84,329,6.66,123,23,185,13.33,13.33,3,2.1,0.41,0.13,0.01,0.06,18,3,4,9,16,3.33,6.66,0.09,0.66,2.66,1.26,0.026,3.33,2,Intrusivo Granodiorita-Diorita,GdD
14722,802512.32,74541.67,2198.54,14/07/1998,3.33,0.66,54,6,50,0.7,7,11,0.46,6.21,399,6.66,91,29,249,13.33,13.33,4,1.43,0.25,0.18,0.02,0.05,22,3,3,9,22,3.33,6.66,0.08,0.66,2.66,1.26,0.026,3.33,1,Intrusivo Granodiorita-Diorita,GdD
14737,800644.62,77174.67,2009.57,15/07/1998,3.33,0.66,24,5,58,0.7,9,12,0.46,5.59,438,6.66,133,39,222,13.33,13.33,6,2.68,0.26,0.24,0.03,0.05,26,5,4,7,20,3.33,6.66,0.14,2,2.66,1.26,0.051,3.33,2,Intrusivo Granodiorita-Diorita,GdD
14798,794559.44,78479.48,1799.66,15/07/1998,3.33,0.66,54,5,76,0.7,16,16,0.46,4.64,648,6.66,179,35,142,13.33,13.33,3,2.5,0.84,0.5,0.03,0.08,28,5,2,11,11,8,6.66,0.12,1,10.5,1.26,0.05,3.33,4,"Volcánicos basálticos, rocas sedimentarias de origen marino",Kvss
